time,JDTDB,X,Y,Z,VX,VY,VZ
9158400,2453703.500000000,1.096153632334904E+08,1.621828512930467E+08,1.039202036855245E+07,-1.754058270003500E+01,1.968727595636372E+01,1.895561644803418E-01
9244800,2453704.500000000,1.080927022517991E+08,1.638731602143407E+08,1.040771609395974E+07,-1.770557912697280E+01,1.944017090081689E+01,1.737894150800301E-01
9331200,2453705.500000000,1.065559458040433E+08,1.655421006820340E+08,1.042205438330941E+07,-1.786687270054116E+01,1.919264390647546E+01,1.581340748103459E-01
9417600,2453706.500000000,1.050054122383031E+08,1.671896382826753E+08,1.043504489273220E+07,-1.802449998783299E+01,1.894474190916534E+01,1.425909076558618E-01
9504000,2453707.500000000,1.034414167410938E+08,1.688157426033690E+08,1.044669733963180E+07,-1.817849759481643E+01,1.869651067450357E+01,1.271604954235483E-01
9590400,2453708.500000000,1.018642713338713E+08,1.704203871268779E+08,1.045702148899657E+07,-1.832890215845132E+01,1.844799464599615E+01,1.118433647361288E-01
9676800,2453709.500000000,1.002742848716974E+08,1.720035491187930E+08,1.046602714921270E+07,-1.847575034744111E+01,1.819923692845925E+01,9.663998767271931E-02
9763200,2453710.500000000,9.867176304183279E+07,1.735652095133817E+08,1.047372416713942E+07,-1.861907881284201E+01,1.795027935216200E+01,8.155078512162728E-02
9849600,2453711.500000000,9.705700836620010E+07,1.751053528044646E+08,1.048012242386033E+07,-1.875892417305327E+01,1.770116248607112E+01,6.657612857427608E-02
9936000,2453712.500000000,9.543032020221515E+07,1.766239669384227E+08,1.048523182881688E+07,-1.889532315280128E+01,1.745192571994536E+01,5.171625187591999E-02
10022400,2453713.500000000,9.379199474632360E+07,1.781210432100293E+08,1.048906231439053E+07,-1.902831190530682E+01,1.720260708503694E+01,3.697160722246906E-02
10108800,2453714.500000000,9.214232506721567E+07,1.795965761523798E+08,1.049162384547117E+07,-1.915792696500799E+01,1.695324360846397E+01,2.234234053903261E-02
10195200,2453715.500000000,9.048160108485621E+07,1.810505634468308E+08,1.049292639924099E+07,-1.928420458614855E+01,1.670387111121140E+01,7.828642166280986E-03
10281600,2453716.500000000,8.881010959271750E+07,1.824830058210858E+08,1.049297996755134E+07,-1.940718088368158E+01,1.645452429467666E+01,-6.569338361701149E-03
10368000,2453717.500000000,8.712813427065338E+07,1.838939069537682E+08,1.049179455348058E+07,-1.952689181184538E+01,1.620523677482017E+01,-2.085149009069909E-02
10454400,2453718.500000000,8.543595569965655E+07,1.852832733820704E+08,1.048938016809313E+07,-1.964337314961047E+01,1.595604110527392E+01,-3.501773921655449E-02
10540800,2453719.500000000,8.373385137633137E+07,1.866511144102746E+08,1.048574682738357E+07,-1.975666062417482E+01,1.570696873379984E+01,-4.906802550172351E-02
10627200,2453720.500000000,8.202209571175943E+07,1.879974420100185E+08,1.048090455339018E+07,-1.986678948573933E+01,1.545805020744659E+01,-6.300235624074357E-02
10713600,2453721.500000000,8.030096010932027E+07,1.893222707693408E+08,1.047486335840741E+07,-1.997379476756139E+01,1.520931515728488E+01,-7.682080504313582E-02
10800000,2453722.500000000,7.857071292459089E+07,1.906256177740444E+08,1.046763325494303E+07,-2.007771154596593E+01,1.496079204988891E+01,-9.052339843959523E-02
10886400,2453723.500000000,7.683161950349924E+07,1.919075025358260E+08,1.045922424923013E+07,-2.017857451966887E+01,1.471250850561296E+01,-1.041102263089089E-01
10972800,2453724.500000000,7.508394220466973E+07,1.931679469136235E+08,1.044964633847007E+07,-2.027641816197131E+01,1.446449126569542E+01,-1.175814114995584E-01
11059200,2453725.500000000,7.332794042014951E+07,1.944069750375523E+08,1.043890950818872E+07,-2.037127659966877E+01,1.421676609601874E+01,-1.309370897299296E-01
11145600,2453726.500000000,7.156387060433871E+07,1.956246132269726E+08,1.042702373092246E+07,-2.046318377469539E+01,1.396935798086934E+01,-1.441774370963920E-01
11232000,2453727.500000000,6.979198629141073E+07,1.968208899232567E+08,1.041399896297075E+07,-2.055217331785117E+01,1.372229103960248E+01,-1.573026494331282E-01
11318400,2453728.500000000,6.801253812223855E+07,1.979958356162210E+08,1.039984514269745E+07,-2.063827857253367E+01,1.347558857202001E+01,-1.703129459473391E-01
